group_number,volume,width
1,913130,374.7105549620934
2,59086,169.72919607421701
3,55032,143.86104406683555
4,45464,152.38110119040354
5,44870,139.79985693841036
6,42278,144.4714504668656
7,39056,253.93700006103876
8,37180,157.60710643876436
9,36492,150.6784656146989
10,35982,120.29962593458053
11,33408,130.69047402163633
12,32452,130.99618315050253
13,31712,154.8418548067673
14,30866,132.78554138158265
15,30556,123.72550262577235
16,29374,113.59577456930342
17,29022,130.99618315050253
18,28870,128.53015210447703
19,28642,137.0693255254435
20,28632,121.60592090848209
21,27430,124.93198149393133
22,26282,113.31372379372236
23,26024,116.58473313431737
24,25712,135.30705820466278
25,25180,144.89996549343965
26,24528,116.49892703368559
27,24432,121.47427711248172
28,23792,134.77388471065157
29,23348,125.1878588362306
30,22874,110.52601503718479
31,22154,111.80339887498948
32,22022,123.57993364620326
33,21184,111.60645142642964
34,20856,112.51666543228163
35,20742,131.74217244299564
36,19938,131.98484761517133
37,19192,131.04197800704932
38,19090,112.51666543228163
39,19048,112.08925015361643
40,18864,106.7707825203131
41,18834,110.9414259868693
42,17694,104.86181383134664
43,17544,107.68472500777443
44,16732,116.99572641767733
45,16354,101.76443386566841
46,16266,109.32520294973159
47,15606,129.1665591397402
48,14746,98.83319280484669
49,13238,98.83319280484669
50,13182,124.93198149393133
51,11624,87.7040477971228
52,10880,89.17398723843182
53,10854,99.7997995989972
54,10820,85.60373823613078
55,10370,103.40212763768452
56,9944,84.80566018845676
57,9416,82.82511696339462
58,9248,80.62257748298549
59,9162,82.82511696339462
60,8580,79.47326594522211
61,7984,94.86832980505137
62,7892,75.63068160475615
63,6918,65.60487786742691
64,6890,75.9473501841901
65,5658,68.99275324264136
66,5102,79.14543574963751
67,5096,71.63797875428926
68,5090,66.96267617113283
69,4230,69.77105417004964
70,4006,59.531504264548865
71,3904,65.26867548832288
72,3388,55.641710972974224
73,3094,46.04345773288535
74,2132,52.03844732503075
75,1396,39.89987468652001
76,416,26.832815729997478
77,284,19.79898987322333
78,256,16.61324772583615
79,250,17.204650534085253
80,206,15.620499351813308
81,172,17.663521732655695
82,132,12.806248474865697
83,122,27.202941017470888
